id,name_sci,name_en,name_sv
105,Sarkidiornis sylvicola,Comb Duck,kamand
106,Sarkidiornis melanotos,Knob-billed Duck,knöland
107,Cyanochen cyanoptera,Blue-winged Goose,blåvingad gås
108,Alopochen aegyptiaca,Egyptian Goose,nilgås
109,Alopochen mauritiana,Mauritius Sheldgoose,mauritiusgås †
110,Alopochen kervazoi,Reunion Sheldgoose,réuniongås †
111,Neochen jubata,Orinoco Goose,orinocogås
112,Chloephaga melanoptera,Andean Goose,andinsk gås
113,Chloephaga picta,Upland Goose,magellangås
114,Chloephaga hybrida,Kelp Goose,kelpgås
115,Chloephaga poliocephala,Ashy-headed Goose,gråhuvad gås
116,Chloephaga rubidiceps,Ruddy-headed Goose,rosthuvad gås
117,Radjah radjah,Raja Shelduck,vithuvad gravand
118,Tadorna tadorna,Common Shelduck,gravand
119,Tadorna ferruginea,Ruddy Shelduck,rostand
120,Tadorna cana,South African Shelduck,gråhuvad rostand
121,Tadorna tadornoides,Australian Shelduck,australisk gravand
122,Tadorna variegata,Paradise Shelduck,paradisgravand
123,Tadorna cristata,Crested Shelduck,tofsgravand †
124,Malacorhynchus membranaceus,Pink-eared Duck,zebraand
125,Salvadorina waigiuensis,Salvadori's Teal,salvadoriand
126,Cairina moschata,Muscovy Duck,myskand
127,Asarcornis scutulata,White-winged Duck,vitvingad and
128,Pteronetta hartlaubii,Hartlaub's Duck,skogsand
129,Aix sponsa,Wood Duck,brudand
130,Aix galericulata,Mandarin Duck,mandarinand
131,Chenonetta jubata,Maned Duck,manand
132,Nettapus auritus,African Pygmy Goose,afrikansk dvärgand
133,Nettapus coromandelianus,Cotton Pygmy Goose,bomullsdvärgand
134,Nettapus pulchellus,Green Pygmy Goose,grön dvärgand
135,Amazonetta brasiliensis,Brazilian Teal,brasilienand
136,Callonetta leucophrys,Ringed Teal,beigekindad and
137,Lophonetta specularioides,Crested Duck,tofsand
138,Speculanas specularis,Bronze-winged Duck,bronsvingad and
139,Sibirionetta formosa,Baikal Teal,gulkindad kricka
140,Spatula querquedula,Garganey,årta
141,Spatula hottentota,Blue-billed Teal,sumpand
142,Spatula puna,Puna Teal,punaand
143,Spatula versicolor,Silver Teal,silverand
144,Spatula platalea,Red Shoveler,sydamerikansk skedand
145,Spatula cyanoptera,Cinnamon Teal,kanelårta
146,Spatula discors,Blue-winged Teal,blåvingad årta
147,Spatula smithii,Cape Shoveler,kapskedand
148,Spatula rhynchotis,Australasian Shoveler,australisk skedand
149,Spatula clypeata,Northern Shoveler,skedand
150,Mareca strepera,Gadwall,snatterand
151,Mareca falcata,Falcated Duck,praktand
152,Mareca penelope,Eurasian Wigeon,bläsand
153,Mareca sibilatrix,Chiloe Wigeon,chilebläsand
154,Mareca americana,American Wigeon,amerikansk bläsand
155,Mareca marecula,Amsterdam Wigeon,amsterdamand †
156,Anas sparsa,African Black Duck,afrikansk svartand
157,Anas undulata,Yellow-billed Duck,gulnäbbad and
158,Anas melleri,Meller's Duck,mellerand
159,Anas superciliosa,Pacific Black Duck,stillahavssvartand
160,Anas laysanensis,Laysan Duck,laysanand
161,Anas wyvilliana,Hawaiian Duck,hawaiiand
162,Anas luzonica,Philippine Duck,filippinand
163,Anas poecilorhyncha,Indian Spot-billed Duck,indisk fläcknäbband
164,Anas zonorhyncha,Eastern Spot-billed Duck,östlig fläcknäbband
165,Anas platyrhynchos,Mallard,gräsand
166,Anas fulvigula,Mottled Duck,fläckand
167,Anas rubripes,American Black Duck,svartand
168,Anas diazi,Mexican Duck,mexikansk and
169,Anas capensis,Cape Teal,kapand
170,Anas bahamensis,White-cheeked Pintail,bahamaand
171,Anas erythrorhyncha,Red-billed Teal,rödnäbbad and
172,Anas georgica,Yellow-billed Pintail,gulnäbbad stjärtand
173,Anas eatoni,Eaton's Pintail,kerguelenand
174,Anas acuta,Northern Pintail,stjärtand
175,Anas crecca,Eurasian Teal,kricka
176,Anas carolinensis,Green-winged Teal,amerikansk kricka
177,Anas flavirostris,Yellow-billed Teal,gulnäbbad kricka
178,Anas andium,Andean Teal,andinsk kricka
179,Anas gibberifrons,Sunda Teal,sundakricka
180,Anas albogularis,Andaman Teal,andamankricka
181,Anas theodori,Mascarene Teal,sauzierkricka †
182,Anas gracilis,Grey Teal,gråkricka
183,Anas castanea,Chestnut Teal,kastanjekricka
184,Anas bernieri,Bernier's Teal,madagaskarkricka
185,Anas chlorotis,Brown Teal,brunkricka
186,Anas aucklandica,Auckland Teal,aucklandkricka
187,Anas nesiotis,Campbell Teal,campbellkricka
188,Marmaronetta angustirostris,Marbled Duck,marmorand
189,Rhodonessa caryophyllacea,Pink-headed Duck,rosenand †
190,Netta rufina,Red-crested Pochard,rödhuvad dykand
191,Netta peposaca,Rosy-billed Pochard,pampasand
192,Netta erythrophthalma,Southern Pochard,sammetsand
193,Aythya valisineria,Canvasback,svartnäbbad brunand
194,Aythya americana,Redhead,amerikansk brunand
195,Aythya ferina,Common Pochard,brunand
196,Aythya australis,Hardhead,australisk dykand
197,Aythya innotata,Madagascar Pochard,madagaskardykand
198,Aythya baeri,Baer's Pochard,amurdykand
199,Aythya nyroca,Ferruginous Duck,vitögd dykand
200,Aythya novaeseelandiae,New Zealand Scaup,nyazeelanddykand
201,Aythya collaris,Ring-necked Duck,ringand
202,Aythya fuligula,Tufted Duck,vigg
203,Aythya marila,Greater Scaup,bergand
204,Aythya affinis,Lesser Scaup,mindre bergand
205,Polysticta stelleri,Steller's Eider,alförrädare
206,Somateria fischeri,Spectacled Eider,glasögonejder
207,Somateria spectabilis,King Eider,praktejder
208,Somateria mollissima,Common Eider,ejder
209,Histrionicus histrionicus,Harlequin Duck,strömand
210,Camptorhynchus labradorius,Labrador Duck,labradorand †
211,Melanitta perspicillata,Surf Scoter,vitnackad svärta
212,Melanitta fusca,Velvet Scoter,svärta
213,Melanitta deglandi,White-winged Scoter,amerikansk knölsvärta
214,Melanitta stejnegeri,Stejneger's Scoter,sibirisk knölsvärta
215,Melanitta nigra,Common Scoter,sjöorre
216,Melanitta americana,Black Scoter,amerikansk sjöorre
217,Clangula hyemalis,Long-tailed Duck,alfågel
218,Bucephala albeola,Bufflehead,buffelhuvud
219,Bucephala clangula,Common Goldeneye,knipa
220,Bucephala islandica,Barrow's Goldeneye,islandsknipa
221,Mergellus albellus,Smew,salskrake
222,Lophodytes cucullatus,Hooded Merganser,kamskrake
223,Mergus australis,New Zealand Merganser,nyazeelandskrake †
224,Mergus octosetaceus,Brazilian Merganser,cerradoskrake
225,Mergus merganser,Common Merganser,storskrake
226,Mergus serrator,Red-breasted Merganser,småskrake
227,Mergus squamatus,Scaly-sided Merganser,amurskrake
228,Heteronetta atricapilla,Black-headed Duck,svarthuvad and
229,Nomonyx dominicus,Masked Duck,svartmaskad kopparand
230,Oxyura jamaicensis,Ruddy Duck,amerikansk kopparand
231,Oxyura ferruginea,Andean Duck,andinsk kopparand
232,Oxyura vittata,Lake Duck,argentinakopparand
233,Oxyura australis,Blue-billed Duck,australisk kopparand
234,Oxyura maccoa,Maccoa Duck,afrikansk kopparand
235,Oxyura leucocephala,White-headed Duck,kopparand
236,Biziura lobata,Musk Duck,bisamand
237,Alectura lathami,Australian Brushturkey,australisk buskhöna
238,Aepypodius arfakianus,Wattled Brushturkey,kambuskhöna
239,Aepypodius bruijnii,Waigeo Brushturkey,waigeobuskhöna
240,Talegalla cuvieri,Red-billed Brushturkey,rödnäbbad buskhöna
241,Talegalla fuscirostris,Black-billed Brushturkey,svartnäbbad buskhöna
242,Talegalla jobiensis,Collared Brushturkey,rödkindad buskhöna
