id,name_sci,name_en,name_sv
1320,Cercococcyx montanus,Barred Long-tailed Cuckoo,bandad långstjärtsgök
1321,Surniculus velutinus,Philippine Drongo-Cuckoo,filippindrongogök
1322,Surniculus lugubris,Square-tailed Drongo-Cuckoo,tvärstjärtad drongogök
1323,Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,klyvstjärtad drongogök
1324,Surniculus musschenbroeki,Moluccan Drongo-Cuckoo,moluckdrongogök
1325,Hierococcyx vagans,Moustached Hawk-Cuckoo,mustaschhökgök
1326,Hierococcyx sparverioides,Large Hawk-Cuckoo,större hökgök
1327,Hierococcyx bocki,Dark Hawk-Cuckoo,mindre hökgök
1328,Hierococcyx varius,Common Hawk-Cuckoo,indisk hökgök
1329,Hierococcyx hyperythrus,Rufous Hawk-Cuckoo,nordlig hökgök
1330,Hierococcyx pectoralis,Philippine Hawk-Cuckoo,filippinhökgök
1331,Hierococcyx fugax,Malaysian Hawk-Cuckoo,malajhökgök
1332,Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,hodgsonhökgök
1333,Cuculus clamosus,Black Cuckoo,svartgök
1334,Cuculus solitarius,Red-chested Cuckoo,rödbröstad gök
1335,Cuculus poliocephalus,Lesser Cuckoo,smågök
1336,Cuculus crassirostris,Sulawesi Cuckoo,sulawesigök
1337,Cuculus micropterus,Indian Cuckoo,kortvingegök
1338,Cuculus rochii,Madagascar Cuckoo,madagaskargök
1339,Cuculus gularis,African Cuckoo,afrikansk gök
1340,Cuculus saturatus,Himalayan Cuckoo,himalayagök
1341,Cuculus optatus,Oriental Cuckoo,tajgagök
1342,Cuculus lepidus,Sunda Cuckoo,sundagök
1343,Cuculus canorus,Common Cuckoo,gök
1344,Nannococcyx psix,St. Helena Cuckoo,sankthelenagök †
1345,Mesitornis variegatus,White-breasted Mesite,vitbröstad mesit
1346,Mesitornis unicolor,Brown Mesite,brunmesit
1347,Monias benschi,Subdesert Mesite,bågnäbbad mesit
1348,Syrrhaptes tibetanus,Tibetan Sandgrouse,tibetflyghöna
1349,Syrrhaptes paradoxus,Pallas's Sandgrouse,stäppflyghöna
1350,Pterocles alchata,Pin-tailed Sandgrouse,vitbukig flyghöna
1351,Pterocles namaqua,Namaqua Sandgrouse,namaquaflyghöna
1352,Pterocles exustus,Chestnut-bellied Sandgrouse,brunbukig flyghöna
1353,Pterocles senegallus,Spotted Sandgrouse,ökenflyghöna
1354,Pterocles orientalis,Black-bellied Sandgrouse,svartbukig flyghöna
1355,Pterocles gutturalis,Yellow-throated Sandgrouse,gulstrupig flyghöna
1356,Pterocles coronatus,Crowned Sandgrouse,kronflyghöna
1357,Pterocles decoratus,Black-faced Sandgrouse,maskflyghöna
1358,Pterocles personatus,Madagascar Sandgrouse,madagaskarflyghöna
1359,Pterocles lichtensteinii,Lichtenstein's Sandgrouse,strimmig flyghöna
1360,Pterocles indicus,Painted Sandgrouse,indisk flyghöna
1361,Pterocles quadricinctus,Four-banded Sandgrouse,fyrbandad flyghöna
1362,Pterocles bicinctus,Double-banded Sandgrouse,tvåbandad flyghöna
1363,Pterocles burchelli,Burchell's Sandgrouse,pärlflyghöna
1364,Columba livia,Rock Dove,klippduva
1365,Columba rupestris,Hill Pigeon,stenduva
1366,Columba leuconota,Snow Pigeon,snöduva
1367,Columba guinea,Speckled Pigeon,guineaduva
1368,Columba albitorques,White-collared Pigeon,abessinsk duva
1369,Columba oenas,Stock Dove,skogsduva
1370,Columba eversmanni,Yellow-eyed Pigeon,turkestanduva
1371,Columba oliviae,Somali Pigeon,somaliaduva
1372,Columba palumbus,Common Wood Pigeon,ringduva
1373,Columba trocaz,Trocaz Pigeon,madeiraduva
1374,Columba bollii,Bolle's Pigeon,kanarieduva
1375,Columba junoniae,Laurel Pigeon,lagerduva
1376,Columba unicincta,Afep Pigeon,afepduva
1377,Columba arquatrix,African Olive Pigeon,olivduva
1378,Columba sjostedti,Cameroon Olive Pigeon,sjöstedtduva
1379,Columba thomensis,Sao Tome Olive Pigeon,sãotoméduva
1380,Columba pollenii,Comoros Olive Pigeon,komorskogsduva
1381,Columba hodgsonii,Speckled Wood Pigeon,bergskogsduva
1382,Columba albinucha,White-naped Pigeon,vitnackad duva
1383,Columba pulchricollis,Ashy Wood Pigeon,sjalduva
1384,Columba elphinstonii,Nilgiri Wood Pigeon,nilgiriduva
1385,Columba torringtoniae,Sri Lanka Wood Pigeon,ceylonduva
1386,Columba punicea,Pale-capped Pigeon,purpurduva
1387,Columba argentina,Silvery Pigeon,silverduva
1388,Columba palumboides,Andaman Wood Pigeon,andamanduva
1389,Columba janthina,Japanese Wood Pigeon,svartduva
1390,Columba versicolor,Bonin Wood Pigeon,boninduva †
1391,Columba jouyi,Ryukyu Wood Pigeon,ryukyuduva †
1392,Columba vitiensis,Metallic Pigeon,vitstrupig duva
1393,Columba leucomela,White-headed Pigeon,vithuvad duva
1394,Columba pallidiceps,Yellow-legged Pigeon,gulfotad duva
1395,Columba delegorguei,Eastern Bronze-naped Pigeon,östlig bronsduva
1396,Columba iriditorques,Western Bronze-naped Pigeon,västlig bronsduva
1397,Columba malherbii,Island Bronze-naped Pigeon,malherbeduva
1398,Columba larvata,Lemon Dove,citronduva
1399,Patagioenas leucocephala,White-crowned Pigeon,vitkronad duva
1400,Patagioenas squamosa,Scaly-naped Pigeon,rödnackad duva
1401,Patagioenas speciosa,Scaled Pigeon,fjällig duva
1402,Patagioenas picazuro,Picazuro Pigeon,picazuroduva
1403,Patagioenas corensis,Bare-eyed Pigeon,nakenögd duva
1404,Patagioenas maculosa,Spot-winged Pigeon,fläckvingad duva
1405,Patagioenas fasciata,Band-tailed Pigeon,bandstjärtsduva
1406,Patagioenas araucana,Chilean Pigeon,chileduva
1407,Patagioenas caribaea,Ring-tailed Pigeon,jamaicaduva
1408,Patagioenas cayennensis,Pale-vented Pigeon,rostduva
1409,Patagioenas flavirostris,Red-billed Pigeon,rödnäbbad duva
1410,Patagioenas oenops,Maranon Pigeon,marañónduva
1411,Patagioenas inornata,Plain Pigeon,karibduva
1412,Patagioenas plumbea,Plumbeous Pigeon,blyduva
1413,Patagioenas subvinacea,Ruddy Pigeon,kopparduva
1414,Patagioenas nigrirostris,Short-billed Pigeon,kortnäbbad duva
1415,Patagioenas goodsoni,Dusky Pigeon,goodsonduva
1416,Nesoenas picturatus,Malagasy Turtle Dove,madagaskarduva
1417,Nesoenas rodericanus,Rodrigues Pigeon,rodriguesduva †
1418,Nesoenas mayeri,Pink Pigeon,rosenduva
1419,Streptopelia turtur,European Turtle Dove,turturduva
1420,Streptopelia lugens,Dusky Turtle Dove,mörk turturduva
1421,Streptopelia hypopyrrha,Adamawa Turtle Dove,adamawaduva
1422,Streptopelia orientalis,Oriental Turtle Dove,större turturduva
1423,Streptopelia bitorquata,Sunda Collared Dove,sundaduva
1424,Streptopelia dusumieri,Philippine Collared Dove,filippinduva
1425,Streptopelia decaocto,Eurasian Collared Dove,turkduva
1426,Streptopelia xanthocycla,Burmese Collared Dove,burmaduva
1427,Streptopelia roseogrisea,African Collared Dove,skrattduva
1428,Streptopelia reichenowi,White-winged Collared Dove,flodduva
1429,Streptopelia decipiens,Mourning Collared Dove,sorgduva
1430,Streptopelia semitorquata,Red-eyed Dove,rödögd duva
1431,Streptopelia capicola,Ring-necked Dove,savannduva
1432,Streptopelia vinacea,Vinaceous Dove,vinduva
1433,Streptopelia tranquebarica,Red Collared Dove,röd turkduva
1434,Spilopelia chinensis,Spotted Dove,pärlhalsduva
1435,Spilopelia senegalensis,Laughing Dove,palmduva
1436,Macropygia unchall,Barred Cuckoo-Dove,bandstjärtad gökduva
1437,Macropygia amboinensis,Amboyna Cuckoo-Dove,smalnäbbad gökduva
1438,Macropygia doreya,Sultan's Cuckoo-Dove,sultangökduva
1439,Macropygia emiliana,Ruddy Cuckoo-Dove,rostgökduva
1440,Macropygia cinnamomea,Enggano Cuckoo-Dove,engganogökduva
1441,Macropygia modiglianii,Barusan Cuckoo-Dove,barusangökduva
1442,Macropygia magna,Timor Cuckoo-Dove,större gökduva
1443,Macropygia timorlaoensis,Tanimbar Cuckoo-Dove,tanimbargökduva
1444,Macropygia macassariensis,Flores Sea Cuckoo-Dove,selayargökduva
1445,Macropygia tenuirostris,Philippine Cuckoo-Dove,filippingökduva
1446,Macropygia phasianella,Brown Cuckoo-Dove,röd gökduva
1447,Macropygia rufipennis,Andaman Cuckoo-Dove,andamangökduva
1448,Macropygia nigrirostris,Bar-tailed Cuckoo-Dove,svartnäbbad gökduva
1449,Macropygia mackinlayi,Mackinlay's Cuckoo-Dove,mackinlaygökduva
1450,Macropygia ruficeps,Little Cuckoo-Dove,mindre gökduva
1451,Reinwardtoena reinwardti,Great Cuckoo-Dove,långstjärtad gökduva
1452,Reinwardtoena browni,Pied Cuckoo-Dove,bismarckgökduva
1453,Reinwardtoena crassirostris,Crested Cuckoo-Dove,salomongökduva
1454,Turacoena manadensis,White-faced Cuckoo-Dove,vitmaskad gökduva
1455,Turacoena sulaensis,Sula Cuckoo-Dove,sulagökduva
1456,Turacoena modesta,Black Cuckoo-Dove,timorgökduva
1457,Turtur chalcospilos,Emerald-spotted Wood Dove,smaragdfläckduva
1458,Turtur abyssinicus,Black-billed Wood Dove,svartnäbbad fläckduva
1459,Turtur afer,Blue-spotted Wood Dove,blåfläckduva
1460,Turtur tympanistria,Tambourine Dove,tambourinfläckduva
1461,Turtur brehmeri,Blue-headed Wood Dove,blåhuvad fläckduva
1462,Oena capensis,Namaqua Dove,långstjärtsduva
1463,Chalcophaps indica,Common Emerald Dove,asiatisk smaragdduva
1464,Chalcophaps longirostris,Pacific Emerald Dove,australisk smaragdduva
1465,Chalcophaps stephani,Stephan's Emerald Dove,brunryggig smaragdduva
1466,Henicophaps albifrons,New Guinea Bronzewing,svart bronsvingeduva
1467,Henicophaps foersteri,New Britain Bronzewing,bismarckbronsvingeduva
1468,Phaps chalcoptera,Common Bronzewing,vanlig spegelduva
1469,Phaps elegans,Brush Bronzewing,grönvingad spegelduva
1470,Phaps histrionica,Flock Bronzewing,flockspegelduva
1471,Ocyphaps lophotes,Crested Pigeon,tofsduva
1472,Geophaps plumifera,Spinifex Pigeon,spinifexduva
1473,Geophaps scripta,Squatter Pigeon,eukalyptusduva
1474,Geophaps smithii,Partridge Pigeon,rapphöneduva
1475,Trugon terrestris,Thick-billed Ground Pigeon,gladiatorduva
1476,Leucosarcia melanoleuca,Wonga Pigeon,wongaduva
1477,Petrophassa rufipennis,Chestnut-quilled Rock Pigeon,arnhemduva
1478,Petrophassa albipennis,White-quilled Rock Pigeon,kimberleyduva
1479,Geopelia cuneata,Diamond Dove,diamantduva
1480,Geopelia striata,Zebra Dove,zebraduva
1481,Geopelia placida,Peaceful Dove,billabongduva
1482,Geopelia maugeus,Barred Dove,timorzebraduva
1483,Geopelia humeralis,Bar-shouldered Dove,blåbröstad zebraduva
1484,Columbina inca,Inca Dove,inkaduva
1485,Columbina squammata,Scaled Dove,fjällig sparvduva
1486,Columbina passerina,Common Ground Dove,nordlig sparvduva
1487,Columbina minuta,Plain-breasted Ground Dove,dvärgsparvduva
1488,Columbina buckleyi,Ecuadorian Ground Dove,buckleysparvduva
1489,Columbina talpacoti,Ruddy Ground Dove,rostsparvduva
1490,Columbina picui,Picui Ground Dove,picuisparvduva
1491,Columbina cruziana,Croaking Ground Dove,guldnäbbad sparvduva
1492,Columbina cyanopis,Blue-eyed Ground Dove,blåögd sparvduva
1493,Claravis pretiosa,Blue Ground Dove,blå sparvduva
1494,Paraclaravis geoffroyi,Purple-winged Ground Dove,lilabandad sparvduva
1495,Paraclaravis mondetoura,Maroon-chested Ground Dove,purpurbröstad sparvduva
1496,Metriopelia ceciliae,Bare-faced Ground Dove,glasögonsparvduva
1497,Metriopelia morenoi,Moreno's Ground Dove,morenosparvduva
1498,Metriopelia melanoptera,Black-winged Ground Dove,svartvingad sparvduva
1499,Metriopelia aymara,Golden-spotted Ground Dove,bronsvingad sparvduva
1500,Uropelia campestris,Long-tailed Ground Dove,långstjärtad sparvduva
1501,Starnoenas cyanocephala,Blue-headed Quail-Dove,blåhuvad vaktelduva
1502,Geotrygon purpurata,Purple Quail-Dove,indigokronad vaktelduva
1503,Geotrygon saphirina,Sapphire Quail-Dove,safirvaktelduva
1504,Geotrygon versicolor,Crested Quail-Dove,tofsvaktelduva
1505,Geotrygon montana,Ruddy Quail-Dove,röd vaktelduva
1506,Geotrygon violacea,Violaceous Quail-Dove,violett vaktelduva
1507,Geotrygon caniceps,Grey-fronted Quail-Dove,kubavaktelduva
1508,Geotrygon leucometopia,White-fronted Quail-Dove,hispaniolavaktelduva
1509,Geotrygon chrysia,Key West Quail-Dove,karibvaktelduva
1510,Geotrygon mystacea,Bridled Quail-Dove,tygelvaktelduva
1511,Leptotrygon veraguensis,Olive-backed Quail-Dove,veraguasvaktelduva
1512,Leptotila verreauxi,White-tipped Dove,ljuspannad duva
1513,Leptotila megalura,Yungas Dove,yungasduva
1514,Leptotila rufaxilla,Grey-fronted Dove,gråpannad duva
1515,Leptotila plumbeiceps,Grey-headed Dove,gråhuvad duva
1516,Leptotila pallida,Pallid Dove,chocóduva
1517,Leptotila battyi,Azuero Dove,panamaduva
1518,Leptotila wellsi,Grenada Dove,grenadaduva
1519,Leptotila jamaicensis,Caribbean Dove,yucatánduva
1520,Leptotila cassinii,Grey-chested Dove,cassinduva
1521,Leptotila ochraceiventris,Ochre-bellied Dove,ockrabukig duva
1522,Leptotila conoveri,Tolima Dove,tolimaduva
1523,Zentrygon carrikeri,Tuxtla Quail-Dove,tuxtlavaktelduva
1524,Zentrygon costaricensis,Buff-fronted Quail-Dove,costaricavaktelduva
1525,Zentrygon lawrencii,Purplish-backed Quail-Dove,purpurryggig vaktelduva
1526,Zentrygon albifacies,White-faced Quail-Dove,vitkindad vaktelduva
1527,Zentrygon frenata,White-throated Quail-Dove,vitstrupig vaktelduva
1528,Zentrygon linearis,Lined Quail-Dove,streckkindad vaktelduva
1529,Zentrygon chiriquensis,Chiriqui Quail-Dove,chiriquívaktelduva
1530,Zentrygon goldmani,Russet-crowned Quail-Dove,rostkronad vaktelduva
1531,Ectopistes migratorius,Passenger Pigeon,vandringsduva †
1532,Zenaida macroura,Mourning Dove,spetsstjärtad duva
1533,Zenaida graysoni,Socorro Dove,socorroduva
1534,Zenaida auriculata,Eared Dove,öronduva
1535,Zenaida aurita,Zenaida Dove,zenaidaduva
1536,Zenaida galapagoensis,Galapagos Dove,galápagosduva
1537,Zenaida asiatica,White-winged Dove,vitvingad duva
1538,Zenaida meloda,West Peruvian Dove,peruduva
1539,Caloenas nicobarica,Nicobar Pigeon,nikobarduva
1540,Caloenas maculata,Spotted Green Pigeon,liverpoolduva †
1541,Gallicolumba tristigmata,Sulawesi Ground Dove,sulawesimarkduva
1542,Gallicolumba rufigula,Cinnamon Ground Dove,gulbröstad markduva
1543,Gallicolumba luzonica,Luzon Bleeding-heart,luzonmarkduva
1544,Gallicolumba crinigera,Mindanao Bleeding-heart,mindanaomarkduva
1545,Gallicolumba platenae,Mindoro Bleeding-heart,mindoromarkduva
1546,Gallicolumba keayi,Negros Bleeding-heart,negrosmarkduva
1547,Gallicolumba menagei,Sulu Bleeding-heart,sulumarkduva
1548,Pampusana hoedtii,Wetar Ground Dove,wetarmarkduva
1549,Pampusana jobiensis,White-breasted Ground Dove,vitbröstad markduva
1550,Pampusana kubaryi,White-fronted Ground Dove,karolinermarkduva
1551,Pampusana erythroptera,Polynesian Ground Dove,tuamotumarkduva
1552,Pampusana xanthonura,White-throated Ground Dove,marianermarkduva
1553,Pampusana norfolkensis,Norfolk Ground Dove,norfolkmarkduva †
1554,Pampusana stairi,Tongan Ground Dove,samoamarkduva
1555,Pampusana sanctaecrucis,Santa Cruz Ground Dove,santacruzmarkduva
1556,Pampusana ferruginea,Tanna Ground Dove,tannamarkduva †
1557,Pampusana salamonis,Thick-billed Ground Dove,salomonmarkduva †
1558,Pampusana rubescens,Marquesan Ground Dove,marquesasmarkduva
1559,Pampusana beccarii,Bronze Ground Dove,gråbröstad markduva
1560,Pampusana canifrons,Palau Ground Dove,palaumarkduva
1561,Microgoura meeki,Choiseul Pigeon,choiseulduva †
1562,Otidiphaps nobilis,Pheasant Pigeon,fasanduva
1563,Goura cristata,Western Crowned Pigeon,blå kronduva
1564,Goura scheepmakeri,Scheepmaker's Crowned Pigeon,scheepmakerkronduva
1565,Goura sclaterii,Sclater's Crowned Pigeon,sclaterkronduva
1566,Goura victoria,Victoria Crowned Pigeon,victoriakronduva
1567,Raphus cucullatus,Dodo,dront †
1568,Pezophaps solitaria,Rodrigues Solitaire,rodriguessolitär †
1569,Didunculus strigirostris,Tooth-billed Pigeon,tandduva
1570,Phapitreron leucotis,White-eared Brown Dove,mindre brunduva
1571,Phapitreron amethystinus,Amethyst Brown Dove,större brunduva
1572,Phapitreron cinereiceps,Tawitawi Brown Dove,tawitawibrunduva
1573,Phapitreron brunneiceps,Mindanao Brown Dove,mindanaobrunduva
1574,Treron fulvicollis,Cinnamon-headed Green Pigeon,vinröd grönduva
1575,Treron olax,Little Green Pigeon,mindre grönduva
1576,Treron vernans,Pink-necked Green Pigeon,gråhättad grönduva
1577,Treron bicinctus,Orange-breasted Green Pigeon,orangebröstad grönduva
1578,Treron pompadora,Sri Lanka Green Pigeon,ceylongrönduva
1579,Treron affinis,Grey-fronted Green Pigeon,malabargrönduva
1580,Treron phayrei,Ashy-headed Green Pigeon,gråhuvad grönduva
1581,Treron chloropterus,Andaman Green Pigeon,andamangrönduva
1582,Treron axillaris,Philippine Green Pigeon,filippingrönduva
1583,Treron aromaticus,Buru Green Pigeon,burugrönduva
1584,Treron curvirostra,Thick-billed Green Pigeon,tjocknäbbad grönduva
1585,Treron griseicauda,Grey-cheeked Green Pigeon,gråkindad grönduva
1586,Treron teysmannii,Sumba Green Pigeon,sumbagrönduva
1587,Treron floris,Flores Green Pigeon,floresgrönduva
1588,Treron psittaceus,Timor Green Pigeon,timorgrönduva
1589,Treron capellei,Large Green Pigeon,större grönduva
1590,Treron phoenicopterus,Yellow-footed Green Pigeon,gulfotad grönduva
1591,Treron waalia,Bruce's Green Pigeon,gulbukig grönduva
1592,Treron australis,Madagascar Green Pigeon,madagaskargrönduva
1593,Treron griveaudi,Comoros Green Pigeon,komorgrönduva
1594,Treron calvus,African Green Pigeon,afrikansk grönduva
1595,Treron pembaensis,Pemba Green Pigeon,pembagrönduva
1596,Treron sanctithomae,Sao Tome Green Pigeon,sãotomégrönduva
1597,Treron apicauda,Pin-tailed Green Pigeon,spetsstjärtad grönduva
1598,Treron oxyurus,Sumatran Green Pigeon,sumatragrönduva
1599,Treron seimundi,Yellow-vented Green Pigeon,gulgumpad grönduva
1600,Treron sphenurus,Wedge-tailed Green Pigeon,kilstjärtad grönduva
1601,Treron sieboldii,White-bellied Green Pigeon,vitbukig grönduva
1602,Treron permagnus,Ryukyu Green Pigeon,ryukyugrönduva
1603,Treron formosae,Taiwan Green Pigeon,taiwangrönduva
1604,Ptilinopus cinctus,Banded Fruit Dove,svartryggig fruktduva
1605,Ptilinopus alligator,Black-banded Fruit Dove,svartbandad fruktduva
1606,Ptilinopus dohertyi,Red-naped Fruit Dove,rödnackad fruktduva
1607,Ptilinopus porphyreus,Pink-headed Fruit Dove,sundafruktduva
1608,Ptilinopus marchei,Flame-breasted Fruit Dove,luzonfruktduva
1609,Ptilinopus merrilli,Cream-breasted Fruit Dove,gräddbukig fruktduva
1610,Ptilinopus occipitalis,Yellow-breasted Fruit Dove,ockrabröstad fruktduva
1611,Ptilinopus fischeri,Red-eared Fruit Dove,fischerfruktduva
1612,Ptilinopus jambu,Jambu Fruit Dove,jambufruktduva
1613,Ptilinopus subgularis,Banggai Fruit Dove,banggaifruktduva
1614,Ptilinopus gularis,Oberholser's Fruit Dove,kastanjestrupig fruktduva
1615,Ptilinopus mangoliensis,Sula Fruit Dove,sulafruktduva
1616,Ptilinopus leclancheri,Black-chinned Fruit Dove,svartstrupig fruktduva
1617,Ptilinopus bernsteinii,Scarlet-breasted Fruit Dove,rödbröstad fruktduva
1618,Ptilinopus magnificus,Wompoo Fruit Dove,wompoofruktduva
1619,Ptilinopus perlatus,Pink-spotted Fruit Dove,rosafläckig fruktduva
1620,Ptilinopus ornatus,Ornate Fruit Dove,praktfruktduva
1621,Ptilinopus tannensis,Tanna Fruit Dove,vanuatufruktduva
1622,Ptilinopus aurantiifrons,Orange-fronted Fruit Dove,orangepannad fruktduva
1623,Ptilinopus wallacii,Wallace's Fruit Dove,wallacefruktduva
1624,Ptilinopus superbus,Superb Fruit Dove,purpurkronad fruktduva
1625,Ptilinopus perousii,Many-colored Fruit Dove,pastellfruktduva
1626,Ptilinopus porphyraceus,Crimson-crowned Fruit Dove,tongafruktduva
1627,Ptilinopus ponapensis,Purple-capped Fruit Dove,pohnpeifruktduva
1628,Ptilinopus hernsheimi,Kosrae Fruit Dove,kosraefruktduva
1629,Ptilinopus pelewensis,Palau Fruit Dove,palaufruktduva
1630,Ptilinopus rarotongensis,Lilac-crowned Fruit Dove,rarotongafruktduva
1631,Ptilinopus roseicapilla,Mariana Fruit Dove,marianerfruktduva
1632,Ptilinopus regina,Rose-crowned Fruit Dove,rosenkronad fruktduva
1633,Ptilinopus richardsii,Silver-capped Fruit Dove,silverhättad fruktduva
1634,Ptilinopus chrysogaster,Raiatea Fruit Dove,raiateafruktduva
1635,Ptilinopus purpuratus,Grey-green Fruit Dove,tahitifruktduva
1636,Ptilinopus chalcurus,Makatea Fruit Dove,makateafruktduva
1637,Ptilinopus coralensis,Atoll Fruit Dove,atollfruktduva
1638,Ptilinopus greyi,Red-bellied Fruit Dove,rödbukig fruktduva
1639,Ptilinopus huttoni,Rapa Fruit Dove,rapafruktduva
1640,Ptilinopus dupetithouarsii,White-capped Fruit Dove,vitkronad fruktduva
1641,Ptilinopus mercierii,Red-moustached Fruit Dove,marquesasfruktduva †
1642,Ptilinopus insularis,Henderson Fruit Dove,hendersonfruktduva
1643,Ptilinopus coronulatus,Coroneted Fruit Dove,diademfruktduva
1644,Ptilinopus pulchellus,Beautiful Fruit Dove,karmosinkronad fruktduva
1645,Ptilinopus monacha,Blue-capped Fruit Dove,blåkronad fruktduva
1646,Ptilinopus rivoli,White-bibbed Fruit Dove,vitbandad fruktduva
1647,Ptilinopus speciosus,Geelvink Fruit Dove,geelvinkfruktduva
1648,Ptilinopus solomonensis,Yellow-bibbed Fruit Dove,gulbandad fruktduva
1649,Ptilinopus viridis,Claret-breasted Fruit Dove,rödstrupig fruktduva
1650,Ptilinopus eugeniae,White-headed Fruit Dove,vithuvad fruktduva
1651,Ptilinopus iozonus,Orange-bellied Fruit Dove,orangebukig fruktduva
1652,Ptilinopus insolitus,Knob-billed Fruit Dove,knölnäbbad fruktduva
1653,Ptilinopus hyogastrus,Grey-headed Fruit Dove,gråhuvad fruktduva
1654,Ptilinopus granulifrons,Carunculated Fruit Dove,vårtfruktduva
1655,Ptilinopus melanospilus,Black-naped Fruit Dove,svartnackad fruktduva
1656,Ptilinopus nainus,Dwarf Fruit Dove,dvärgfruktduva
1657,Ptilinopus arcanus,Negros Fruit Dove,negrosfruktduva
1658,Ptilinopus victor,Orange Fruit Dove,orange fruktduva
1659,Ptilinopus luteovirens,Golden Fruit Dove,gyllenfruktduva
1660,Ptilinopus layardi,Whistling Fruit Dove,kadavufruktduva
1661,Drepanoptila holosericea,Cloven-feathered Dove,tofsbent fruktduva
1662,Alectroenas nitidissimus,Mauritius Blue Pigeon,mauritiusblåduva †
1663,Alectroenas madagascariensis,Madagascar Blue Pigeon,madagaskarblåduva
1664,Alectroenas sganzini,Comoros Blue Pigeon,komorblåduva
1665,Alectroenas pulcherrimus,Seychelles Blue Pigeon,seychellblåduva
1666,Ducula poliocephala,Pink-bellied Imperial Pigeon,filippinkejsarduva
1667,Ducula forsteni,White-bellied Imperial Pigeon,vitbukig kejsarduva
1668,Ducula mindorensis,Mindoro Imperial Pigeon,mindorokejsarduva
1669,Ducula radiata,Grey-headed Imperial Pigeon,gråhuvad kejsarduva
1670,Ducula carola,Spotted Imperial Pigeon,fläckvingad kejsarduva
1671,Ducula aenea,Green Imperial Pigeon,grön kejsarduva
1672,Ducula nicobarica,Nicobar Imperial Pigeon,nikobarkejsarduva
1673,Ducula perspicillata,Spectacled Imperial Pigeon,glasögonkejsarduva
1674,Ducula neglecta,Seram Imperial Pigeon,seramkejsarduva
1675,Ducula concinna,Elegant Imperial Pigeon,blåstjärtad kejsarduva
1676,Ducula pacifica,Pacific Imperial Pigeon,stillahavskejsarduva
1677,Ducula oceanica,Micronesian Imperial Pigeon,mikronesisk kejsarduva
1678,Ducula aurorae,Polynesian Imperial Pigeon,polynesisk kejsarduva
1679,Ducula galeata,Marquesan Imperial Pigeon,marquesaskejsarduva
1680,Ducula rubricera,Red-knobbed Imperial Pigeon,rödvårtig kejsarduva
1681,Ducula myristicivora,Spice Imperial Pigeon,svartvårtig kejsarduva
1682,Ducula geelvinkiana,Geelvink Imperial Pigeon,geelvinkkejsarduva
1683,Ducula rufigaster,Purple-tailed Imperial Pigeon,rostbröstad kejsarduva
1684,Ducula basilica,Cinnamon-bellied Imperial Pigeon,moluckkejsarduva
1685,Ducula finschii,Finsch's Imperial Pigeon,finschkejsarduva
1686,Ducula chalconota,Rufescent Imperial Pigeon,rödbröstad kejsarduva
1687,Ducula pistrinaria,Island Imperial Pigeon,ökejsarduva
1688,Ducula rosacea,Pink-headed Imperial Pigeon,rosahuvad kejsarduva
1689,Ducula whartoni,Christmas Imperial Pigeon,julökejsarduva
1690,Ducula pickeringii,Grey Imperial Pigeon,grå kejsarduva
1691,Ducula latrans,Barking Imperial Pigeon,fijikejsarduva
1692,Ducula brenchleyi,Chestnut-bellied Imperial Pigeon,kastanjebukig kejsarduva
1693,Ducula bakeri,Vanuatu Imperial Pigeon,vanuatukejsarduva
1694,Ducula goliath,Goliath Imperial Pigeon,jättekejsarduva
1695,Ducula pinon,Pinon's Imperial Pigeon,pinonkejsarduva
1696,Ducula melanochroa,Black Imperial Pigeon,svart kejsarduva
1697,Ducula mullerii,Collared Imperial Pigeon,halsbandskejsarduva
1698,Ducula zoeae,Zoe's Imperial Pigeon,zoekejsarduva
1699,Ducula cuprea,Malabar Imperial Pigeon,ghatskejsarduva
1700,Ducula badia,Mountain Imperial Pigeon,bergkejsarduva
1701,Ducula lacernulata,Dark-backed Imperial Pigeon,javakejsarduva
1702,Ducula cineracea,Timor Imperial Pigeon,timorkejsarduva
1703,Ducula bicolor,Pied Imperial Pigeon,svartvit kejsarduva
1704,Ducula luctuosa,Silver-tipped Imperial Pigeon,vit kejsarduva
1705,Ducula spilorrhoa,Torresian Imperial Pigeon,australisk kejsarduva
1706,Ducula subflavescens,Yellowish Imperial Pigeon,gräddfärgad kejsarduva
1707,Lopholaimus antarcticus,Topknot Pigeon,perukduva
1708,Hemiphaga novaeseelandiae,New Zealand Pigeon,nyazeelandduva
1709,Hemiphaga chathamensis,Chatham Pigeon,chathamduva
1710,Cryptophaps poecilorrhoa,Sombre Pigeon,sulawesiduva
1711,Gymnophaps albertisii,Papuan Mountain Pigeon,papuabergduva
1712,Gymnophaps mada,Buru Mountain Pigeon,burubergduva
1713,Gymnophaps stalkeri,Seram Mountain Pigeon,serambergduva
1714,Gymnophaps solomonensis,Pale Mountain Pigeon,blek bergduva
1715,Podica senegalensis,African Finfoot,afrikansk simrall
1716,Heliopais personatus,Masked Finfoot,asiatisk simrall
1717,Heliornis fulica,Sungrebe,amerikansk simrall
1718,Mentocrex kioloides,Madagascar Wood Rail,madagaskarskogsrall
1719,Mentocrex beankaensis,Tsingy Wood Rail,tsingyskogsrall
